question,response
What is the purpose of clicking on the 'Ajouter Finition' button?,To fill in the characteristics of Finition
What types of information can be filled in when clicking on 'Ajouter Finition'?,"Caractéristiques, Motorisation, Transmission et Dimension, Performance et Consommation, Equipements"
What is the first category of information that can be filled in when clicking on 'Ajouter Finition'?,Caractéristiques
Is there a separate section for motorization-related information?,"Yes, it's called Motorisation"
What is the last category of information that can be filled in when clicking on 'Ajouter Finition'?,Equipements
What happens to the finishings after they are added to the list?,They will be treated in backoffice
Who can consult the list of finishings added by concessionnaires?,The administrator
What information does the list of finishings provide?,"La marque, Le modèle, L'état de la finition"
What is the state of a finishing when it's added to the list?,En attente de validation
Where are finishings treated after they're added to the list?,Backoffice
What is the purpose of the checkbox 'Approuver'?,The purpose of the checkbox 'Approuver' is to approve the finishing.
What needs to be done after approving the finishing?,"After approving the finishing, one needs to click on Enregistrer (Save) and a pop-up will appear to confirm the successful addition of the finishing."
What is required to validate the finishing?,"To validate the finishing, the concessionnaire must check the 'Approuver' box."
How does one approve a finishing?,One can approve a finishing by checking the 'Approuver' checkbox and then clicking on Enregistrer (Save).
What happens when the concessionnaire clicks on 'Enregistrer' after approving the finishing?,A pop-up will appear to confirm the successful addition of the finishing with a message confirming the action.
What is the current state of the finishing process in the concession space?,Validée
Can a concessionaire add finishes by lot?,Yes
What type of file should a concessionaire prepare to add finishes by lot?,Excel
What information should be included in the Excel file for adding finishes by lot?,A list of finishes with all their characteristics
How can a concessionaire upload the Excel file to add finishes by lot?,By clicking on the 'Add Finish by Lot' button and downloading the file
What information is listed about the cars in stock?,"La désignation, Le couleur, La quantité totale, La quantité restante, Date de stock, Prix unitaire, and Le nombre de demandes en cours"
What options does a concessionnaire have when managing the stock?,"Changer la quantité restante de stock, Modifier le prix de stock, Supprimer le stock"
What is included in the designation of each car?,Not specified
Can a concessionnaire change the quantity remaining of a car in stock?,Yes
Can a concessionnaire modify the price of a car in stock?,Yes
What information must a concessionnaire provide when adding a vehicle to the stock?,"The marque, modèle, finition, couleur, and quantité"
What is the purpose of clicking on 'Ajouter Stock'?,To add the stock that will be treated in backoffice
What details can be specified when adding a vehicle to the stock?,"La marque, Le modèle, La finition, Le couleur, La quantité, and Description du stock"
How many items are added to the list of stocks after validation?,1
What happens to the added stock after validation?,It will be treated in backoffice
What information is required to add an offer?,"The concessionnaire must specify stock, marque, modèle, finition, date of beginning promotion, date of end promotion, montant de promotion, and quantity."
What are the details that need to be specified when adding an offer?,"Le stock, la marque, le modèle, la finition, date de début de promotion, date de fin de promotion, montant de promotion, and quantité."
What happens after clicking the 'Valider' button?,The offer is added to the list of offers that will be treated in backoffice.
What is packed free when adding an offer?,Pack gratuit
How many details are required for adding an offer?,9
What can a concessionnaire do in the Gestion de contenu section?,"Add or modify brands, models and blogs"
What can be found in the Gestion de contenu section?,"A list of brands, models and Blogs"
What actions can be performed on marks in the Gestion des marques section?,Modify or add a new mark
How can a concessionnaire modify a brand in the Gestion des marques section?,By choosing the brand and downloading the logo
What is required to add a new mark in the Gestion des marques section?,"The mark, description and logo"
What can you do by clicking on Gestion des modèles?,Modify the model and add a new model
How can you modify the model?,By choosing the brand and uploading images and videos
What options do you have for adding a new model?,"You can add a new model by specifying the brand, model, description, and image"
Is it possible to upload images when modifying a model?,"Yes, you can upload images"
Can you upload videos when modifying a model?,"Yes, you can upload videos"
What is the primary function of clicking on 'Gestion modèles'?,To add blogs
What information can a concessionnaire specify when adding blogs?,"The title, paragraphs, and images (vitrine and intérieure)"
How many steps are involved in adding blogs?,3
What type of information can a concessionnaire add for the images?,Vitrine and intérieure
What is the purpose of specifying paragraphs when adding blogs?,To provide text content for the blog
What will happen to content added by a concessionnaire?,It will be treated in back office and then made public once validated.
When will concessionnaire-added content become publicly available?,After being validated
Where will concessionnaire-added content be processed?,In the back office
What happens to concessionnaire-added content before it becomes public?,It is validated first
Will all concessionnaire-added content become publicly available?,"Yes, once validated"
What is the company name?,BRI-Technology
Where is the BRI-Technology located?,"05 Golden Tower Bloc B,Centre Urbain Nord,1082,Tunis,Tunisie"
What is the contact phone number of BRI-Technology?,98 665 245
How to get in touch with BRI-Technology?,e-mail: mohamedali.kachouri@bri-technology.com
Who owns the copyright of this guide?,BRI-Technology
What is the content about?,A website guide
What is the purpose of the StickyMenu?,To contain other stores that exist
Where can users find information on car news?,In the SectionActualités/BLOG
How to verify the uniqueness of an email address?,Through Vérification l’unicité d’email
What is the purpose of the PopUpComparateur?,To compare products
What is the purpose of the 'PageProfil' page?,To display user profile information
Where can users find their financial information?,On the 'PageMesfinancement' page
How do users simulate a vehicle purchase?,Through the 'PopUpsimulateur' and 'Pagesimulateur' pages
What is the purpose of the 'EspaceBackOfficepourleschargésdelabanque' page?,For bank representatives to access back office features
Where can users upload a gallery?,On the 'UploadGalerie' page
What can you consult in the store?,"Véhicules, financements, partenaires"
How do you validate partners?,En attention de validation et ValidationPartenaires
What is validated for franchises and marques?,Validation franchises et Validation marques
What kind of content can be published?,Contenu publié
What are some modules mentioned in the guide?,"Module Marketing: Gestion de contenu, Blog, Financement et FAQ"
What is the first section of the guide?,Guide d'Utilisation
What topic does the 'C.ClientMarket' section cover?,Véhicule
How many entries are there in the 'd.GestionDesComptes' and 'GestionDeGroupes' sections?,140
What is the topic of the section with the number 141?,"GestiondesUtilisateursBO, GestionDeGroupes, or GestionUtilisateurs"
What is the topic of the section with the number 142?,ConsulterUtilisateurs and Reporting
Can a user access the internal space without logging in?,"Yes, the user can access the internal space through their account or without connecting."
What is displayed when an unlogged-in user accesses the internal space?,The page Home is displayed.
How can a user sign up on the internal space?,"A user can sign up as a client final or send a request to become a department, concessionnaire, or announceur."
What features are available on the internal space's different pages?,"The user can consult the shop, filter and search for offers, access the simulator and add cars to the comparator."
How can a user access the Page Home?,A user can click on the logo that appears at the top of the page or the 'Home' section in the horizontal menu bar.
What are the three main categories in the menu?,"Simulateur, Financement, and Comparateur"
What is the name of the vertical scrolling menu?,Sticky Menu
How many rubriques are in the sticky menu?,3
What is the filter for,metaux clients to find quickly the product that suits them
How does the filter work?,by selecting 7
What is the name of the guide?,Guide d'Utilisation
What type of product is being presented in the guide?,Véhicule (vehicle)
What details can be found under each vehicle listing?,"Marque (brand), Modèle (model) and Budget mensuel"
What is the purpose of the 'bouton Affichertouslesrésultats' button?,To show all results
What page are users directed to for more information about a vehicle that matches their filter criteria?,Page ‘neuf’ (new page)
What is the purpose of this guide?,It's a usage guide
What type of vehicles are listed in the new cars section?,New cars
Is the banner static?,Yes
How many new cars are listed horizontally?,Four
What is added recently in the new cars section?,Cars
What is the purpose of the 'Afficher plus' button?,To view more details about vehicles or a page with filtered popular cars
What does the Bannière Populaire allow you to do?,"To set products, promotions, and new releases in advance"
What is composed of the Bannière Populaire?,A block image and a zone text
What can you find in the 'Toutes les marques' section?,"A horizontal list of logos for available brands in the Marketplace, with a 'Afficher plus' button to show all brands"
What happens when you hover your mouse over a brand logo?,The color of the logo changes
What is the purpose of the Actualités/BLOG section?,"The section contains the latest blogs with a brief description and an image, allowing users to read more by clicking on the 'Lire la suite' button or view all blogs by clicking on the 'Afficher plus' button."
What can you do when clicking on the 'Lire la suite' button?,You can consult the blog in its entirety.
How can you access all blogs?,By clicking on the 'Afficher plus' button.
What is the purpose of the FAQ section?,The section contains a list of frequently asked questions.
How do you access the answers to FAQs?,By clicking on the 'flèche' button.
What is the purpose of the Section Statique in the Guide d'Utilisation store?,"It contains information on Services, Livraison, and Moyen de paiements."
What can be found in the Section Statique?,"Services, Livraison, and Moyen de paiements"
How can someone subscribe to the newsletter?,Through the section 'Inscrivez-vous pour recevoir des offres' by adding an email address and clicking on the button to complete the inscription.
What is the name of the section that allows for newsletter subscription?,'Inscrivez-vous pour recevoir des offres'
What is the purpose of the Bannière NewsLetter?,To permit the inscription to the newsletter
What is the purpose of the 'Réseaux sociaux' widget?,Permet diriger les utilisateurs vers la page officielle du marketplace sur les réseaux sociaux.
What is the 'NewsLetter' widget used for?,Unknown (no information provided)
What is the purpose of the 'véhicule' block?,Unknown (no information provided)
Is there a store guide available?,"Yes, there is a guide called 'Guide d'Utilisation'"
What does the 'Widget « NewsLetter »' do?,Unknown (no information provided)
What are the main sections of the guide?,"Menu, Contact, Help&Support, and Moyensdepaiements"
What is the purpose of sending a demande de partenariat,To have it treated by an administrator in Back Office
How many characters must the libellé concessionnaire field contain?,At least 3 characters
What is the format for the matricule fiscal field?,7 numbers and a letter
What is required in the email field,A specific character '@'
What is the format of an email address required for a responsible?,"comporter le caractère spécifique ""@"""
How many characters should a mobile phone number of a responsible contain?,8 chiffres
What happens when the user clicks the 'Enregistrer' button?,l’envoie de sa demande qui sera traitée en back office par un administrateur
What will be sent to the address entered by the user once their request is validated?,un mail sera envoyé à l'adresse saisie par l’utilisateur contenant les informations de connexion
How can someone become an announcer according to the guide?,17
What happens when you click on the car body to filter?,The color becomes green
What is the result of filtering by clicking on the car body?,The color becomes green
Is there a specific action that triggers a change in color when viewing a vehicle?,"Yes, clicking on the car body does so"
What is the new color of the filtered result?,Green
Can you filter vehicles based on their car body type?,Yes
What is the purpose of the 'partager' button?,to share
What does the 'simulation' button redirect to?,the page simulator
What is the function of the 'commander' button?,to command/commission
What is displayed in the banner?,voitures similaires (similar cars)
What is being referred to with the text '**Bannière voiture similaires : Box voitures'?,a car similar box
Where can you access the PopUp Comparateur?,From the page home
What is the name of the feature being discussed?,PopUp Comparateur
What type of content is this guide about?,Store vehicle information
What is the main topic of the store guide?,Vehicle related
Where do you find the PopUp Comparateur in the guide?,Since number 23
What can you find in the PopUp Comparateur?,"A bouton ajouter une voiture, a bouton voir la comparaison, and a bouton tout supprimer"
How do you access the page 'Comparateur'?,"Through the menu en haut de chaque page, the PopUp Comparateur, or StickyMenu"
What information can be added to compare a vehicle?,"Marque, modèle, and version"
What is the function of the bouton ajouter une voiture?,To redirect the internaute to the formulaire 'Choisir une voiture à comparer'
What happens when you click on the bouton tout supprimer?,The voitures ajoutées are suppressed
How many selection buttons are there?,Two
What is specified for the number of years?,Number of years
What information can be found under 'Détails'?,"Marque, version, loyer, prix comptant, apport propre minimum exigé, apport propre, type de carrosserie"
What is included in the motorisation section?,"Énergie, boite vitesse, puissance fiscale, nombre de cylindres"
What characteristics can be found under 'Caractéristiques'?,"Disponibilité, garantie, nombre de places, nombre de portes, ABS"
What is the specific character required for an email address?,@
How many characters should a mobile number consist of?,8
What type of characters are allowed in the password field?,"At least one digit and one letter, or just digits/letters"
